"Datenfeld,""ID"""
"https://w3id.org/GerPS-onto/ontology#R60000020,""R60000020"""
"https://w3id.org/GerPS-onto/ontology#F60000248,""F60000248"""
"https://w3id.org/GerPS-onto/ontology#R00000849,""R00000849"""
"https://w3id.org/GerPS-onto/ontology#F00000601,""F00000601"""
"https://w3id.org/GerPS-onto/ontology#F60000319,""F60000319"""
"https://w3id.org/GerPS-onto/ontology#F60000262,""F60000262"""
"https://w3id.org/GerPS-onto/ontology#G00001399,""G00001399"""
"https://w3id.org/GerPS-onto/ontology#F60000247,""F60000247"""
"https://w3id.org/GerPS-onto/ontology#F00002408,""F00002408"""
"https://w3id.org/GerPS-onto/ontology#G60000083,""G60000083"""
"https://w3id.org/GerPS-onto/ontology#F60000229,""F60000229"""
"https://w3id.org/GerPS-onto/ontology#F60000244,""F60000244"""
"https://w3id.org/GerPS-onto/ontology#F60000261,""F60000261"""
"https://w3id.org/GerPS-onto/ontology#R00001166,""R00001166"""
"https://w3id.org/GerPS-onto/ontology#F60000227,""F60000227"""
"https://w3id.org/GerPS-onto/ontology#G60000091,""G60000091"""
"https://w3id.org/GerPS-onto/ontology#R00000042,""R00000042"""
"https://w3id.org/GerPS-onto/ontology#G00001914,""G00001914"""
"https://w3id.org/GerPS-onto/ontology#G00000253,""G00000253"""
"https://w3id.org/GerPS-onto/ontology#F60000231,""F60000231"""
"https://w3id.org/GerPS-onto/ontology#G00000255,""G00000255"""
"https://w3id.org/GerPS-onto/ontology#F60000263,""F60000263"""
"https://w3id.org/GerPS-onto/ontology#G60000088,""G60000088"""
"https://w3id.org/GerPS-onto/ontology#R60000024,""R60000024"""
"https://w3id.org/GerPS-onto/ontology#R00001223,""R00001223"""
"https://w3id.org/GerPS-onto/ontology#G60000092,""G60000092"""
"https://w3id.org/GerPS-onto/ontology#F00000467,""F00000467"""
"https://w3id.org/GerPS-onto/ontology#G00001408,""G00001408"""
"https://w3id.org/GerPS-onto/ontology#F00000464,""F00000464"""
"https://w3id.org/GerPS-onto/ontology#R60000023,""R60000023"""
"https://w3id.org/GerPS-onto/ontology#F00000466,""F00000466"""
"https://w3id.org/GerPS-onto/ontology#F60000242,""F60000242"""
"https://w3id.org/GerPS-onto/ontology#F00000462,""F00000462"""
"https://w3id.org/GerPS-onto/ontology#F60000241,""F60000241"""
"https://w3id.org/GerPS-onto/ontology#S00000094,""S00000094"""
"https://w3id.org/GerPS-onto/ontology#R00001224,""R00001224"""
"https://w3id.org/GerPS-onto/ontology#F60000232,""F60000232"""
"https://w3id.org/GerPS-onto/ontology#G60000093,""G60000093"""
"https://w3id.org/GerPS-onto/ontology#F60000246,""F60000246"""
"https://w3id.org/GerPS-onto/ontology#R00000044,""R00000044"""
"https://w3id.org/GerPS-onto/ontology#F00002483,""F00002483"""
"https://w3id.org/GerPS-onto/ontology#F00000465,""F00000465"""
"https://w3id.org/GerPS-onto/ontology#F60000243,""F60000243"""
"https://w3id.org/GerPS-onto/ontology#R00001165,""R00001165"""
"https://w3id.org/GerPS-onto/ontology#F60000249,""F60000249"""
"https://w3id.org/GerPS-onto/ontology#R60000021,""R60000021"""
"https://w3id.org/GerPS-onto/ontology#F60000240,""F60000240"""
"https://w3id.org/GerPS-onto/ontology#G60000087,""G60000087"""
"https://w3id.org/GerPS-onto/ontology#G00000258,""G00000258"""
"https://w3id.org/GerPS-onto/ontology#F60000228,""F60000228"""
"https://w3id.org/GerPS-onto/ontology#F60000233,""F60000233"""
"https://w3id.org/GerPS-onto/ontology#F00000463,""F00000463"""
"https://w3id.org/GerPS-onto/ontology#G60000086,""G60000086"""
"https://w3id.org/GerPS-onto/ontology#R60000019,""R60000019"""
"https://w3id.org/GerPS-onto/ontology#F00000468,""F00000468"""
