Agent,Role,Prozessschritt
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_0facbbd5-88a0-4989-aaf4-d38437a69ba2
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_1169fb06-dae2-43c5-83fd-8e9a241f5a3c
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_28441394-6afd-4633-8f4f-6cce9cd4ffc9
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_3a5bc1b5-61f4-4d4c-af7f-b1728f919b38
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_4476807b-2e49-4a15-ad62-9f3fee43b40a
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_89fe1dcd-0a22-4d4e-8def-7a0b24e87884
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_8d7df6f8-49b7-4ae0-997c-022d68640330
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_8e994dc4-84d6-4089-9eeb-260268e6fb8a
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_94d87600-bd90-41e3-95c9-9c8e5bea706c
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_c15dd7d3-7d90-45f5-997d-0fee2128ca36
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_c44a10cf-0b69-481b-b36c-69a0f7641161
https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,https://w3id.org/GerPS-onto/ontology#GERPSE007,https://w3id.org/GerPS-onto/ontology#99006028261000_f8b43c65-cc8a-4064-ab39-b77e8db5cd4b
